Time,T1,Q1
0,20.949499999999997,100
0,20.949499999999997,100
2.0,20.949499999999997,0
2.0,20.949499999999997,0
3.01,20.949499999999997,93.98621799263935
3.01,20.949499999999997,93.98621799263935
4.01,20.949499999999997,0
4.01,20.949499999999997,0
6.0,21.2718,53.63999339195669
6.0,21.2718,53.63999339195669
7.01,21.2718,0
7.01,21.2718,0
9.0,21.2718,68.14832288006369
9.0,21.2718,68.14832288006369
10.01,21.2718,0.5794747899439017
10.01,21.2718,0.5794747899439017
12.0,21.594099999999997,39.32733999217112
12.0,21.2718,39.32733999217112
13.0,21.594099999999997,0
13.0,21.594099999999997,0
15.0,21.594099999999997,57.615397795028855
15.0,21.594099999999997,57.615397795028855
16.0,21.594099999999997,0
16.0,21.594099999999997,0
17.0,21.9164,29.907006874456272
17.0,21.9164,29.907006874456272
18.0,21.9164,0
18.0,21.9164,0
19.01,21.9164,48.389238983954726
19.01,21.9164,48.389238983954726
21.01,22.238699999999998,0
21.01,21.9164,0
22.0,21.9164,0
22.0,22.238699999999998,0
23.0,22.238699999999998,92.65392049219838
23.0,22.238699999999998,92.65392049219838
24.0,22.238699999999998,0
24.0,22.238699999999998,0
25.01,22.238699999999998,62.979498765633025
25.01,22.238699999999998,62.979498765633025
27.01,22.561,0
27.01,22.561,0
28.0,22.561,0
28.0,22.561,0
29.01,22.561,10.832308043632793
29.01,22.8833,10.832308043632793
30.0,22.8833,0
30.0,22.8833,0
31.01,22.8833,23.10805869506339
31.01,22.8833,23.10805869506339
32.01,22.8833,0
32.01,22.8833,0
35.0,23.205599999999997,0
35.0,23.205599999999997,0
36.0,23.205599999999997,0
36.0,23.205599999999997,0
38.0,23.205599999999997,9.326897846864654
38.0,23.205599999999997,9.326897846864654
39.0,23.205599999999997,0
39.0,23.205599999999997,0
40.0,23.5279,0
40.0,23.205599999999997,0
41.0,23.5279,0
41.0,23.5279,0
42.0,23.5279,0
42.0,23.5279,0
44.0,23.5279,0
44.0,23.5279,0
45.0,23.5279,0
45.0,23.5279,0
46.0,23.5279,0
46.0,23.5279,0
47.01,23.5279,0
47.01,23.5279,0
48.01,23.5279,0
48.01,23.5279,0
50.0,23.5279,0
50.0,23.5279,0
51.01,23.5279,0
51.01,23.5279,0
53.0,23.850199999999997,0
53.0,23.5279,0
54.0,23.850199999999997,0
54.0,23.5279,0
55.01,23.5279,0
55.01,23.850199999999997,0
56.0,23.5279,0
56.0,23.5279,0
57.01,23.5279,0
57.01,23.850199999999997,0
59.0,23.5279,0
59.0,23.850199999999997,0
60.0,23.5279,0
60.0,23.5279,0
62.0,23.5279,0
62.0,23.5279,0
63.0,23.5279,0
63.0,23.5279,0
65.0,23.5279,0
65.0,23.5279,0
66.01,23.5279,0
66.01,23.5279,0
67.01,23.5279,0
67.01,23.5279,0
68.01,23.5279,0
68.01,23.5279,0
69.01,23.5279,0
69.01,23.5279,0
71.0,23.5279,0
71.0,23.5279,0
72.01,23.5279,0
72.01,23.5279,0
73.01,23.5279,0
73.01,23.5279,0
74.01,23.5279,0
74.01,23.5279,0
75.01,23.5279,0
75.01,23.5279,0
77.01,23.5279,0
77.01,23.5279,0
78.01,23.5279,0
78.01,23.5279,0
80.0,23.5279,0
80.0,23.5279,0
81.0,23.5279,0
81.0,23.5279,0
82.0,23.5279,0
82.0,23.5279,0
83.0,23.5279,0
83.0,23.5279,0
84.01,23.5279,0
84.01,23.5279,0
86.01,23.5279,0
86.01,23.5279,0
87.01,23.5279,0
87.01,23.5279,0
89.0,23.205599999999997,0
89.0,23.205599999999997,0
90.0,23.205599999999997,0
90.0,23.205599999999997,0
92.0,23.205599999999997,0
92.0,23.205599999999997,0
93.0,23.205599999999997,0
93.0,23.205599999999997,0
94.0,23.205599999999997,0
94.0,23.205599999999997,0
95.01,23.205599999999997,0
95.01,23.205599999999997,0
96.0,23.205599999999997,0
96.0,23.205599999999997,0
98.0,23.205599999999997,0
98.0,23.205599999999997,0
99.0,23.205599999999997,0
99.0,23.205599999999997,0
100.0,23.205599999999997,0
100.0,23.205599999999997,0
101.01,23.205599999999997,0
101.01,23.205599999999997,0
102.01,23.205599999999997,0
102.01,23.205599999999997,0
104.01,23.205599999999997,0
104.01,23.205599999999997,0
105.0,23.205599999999997,0
105.0,23.205599999999997,0
107.0,23.205599999999997,0
107.0,23.205599999999997,0
108.01,22.8833,0
108.01,23.205599999999997,0
110.0,23.205599999999997,0
110.0,22.8833,0
111.0,22.8833,0
111.0,23.205599999999997,0
112.0,22.8833,0
112.0,22.8833,0
113.0,22.8833,0
113.0,22.8833,0
114.0,22.8833,0
114.0,22.8833,0
115.01,22.8833,0
115.01,22.8833,0
117.0,22.8833,0
117.0,22.8833,0
118.0,22.8833,0
118.0,22.8833,0
119.01,22.8833,0
119.01,22.8833,0
121.0,22.8833,0
121.0,22.8833,0
122.0,22.8833,0
122.0,22.8833,0
123.01,22.8833,0
123.01,22.8833,0
124.01,22.8833,0
124.01,22.8833,0
125.01,22.8833,0
125.01,22.8833,0
126.01,22.8833,0
126.01,22.8833,0
128.0,22.8833,0
128.0,22.8833,0
129.0,22.8833,0
129.0,22.561,0
130.01,22.8833,0
130.01,22.8833,0
132.0,22.8833,0
132.0,22.8833,0
133.01,22.561,0
133.01,22.8833,0
135.01,22.561,0
135.01,22.561,0
136.01,22.561,0
136.01,22.8833,0
138.0,22.561,0
138.0,22.561,0
139.0,22.561,0
139.0,22.561,0
140.0,22.561,0
140.0,22.561,0
141.01,22.561,0
141.01,22.561,0
142.01,22.561,0
142.01,22.561,0
144.0,22.561,0
144.0,22.561,0
145.01,22.561,0
145.01,22.561,0
146.01,22.561,0
146.01,22.561,0
147.01,22.561,0
147.01,22.561,0
148.01,22.561,0
148.01,22.561,0
150.01,22.561,0
150.01,22.561,0
151.0,22.561,0
151.0,22.561,0
153.01,22.561,0
153.01,22.561,0
154.0,22.561,0
154.0,22.561,0
156.0,22.561,0
156.0,22.561,0
157.01,22.561,0
157.01,22.561,0
158.01,22.238699999999998,0
158.01,22.561,0
159.0,22.238699999999998,0
159.0,22.561,0
160.01,22.238699999999998,0
160.01,22.561,0
162.0,22.238699999999998,0
162.0,22.238699999999998,0
