Time,T1,T2,Q1,Q2
0,20.949499999999997,20.949499999999997,100,0
50.06,33.5192,22.238699999999998,0,0
75.03,36.0976,22.8833,2.2319479544191556,0
100.04,34.8084,23.205599999999997,29.097386319148338,0
125.04,34.4861,23.205599999999997,30.223878891754968,0
150.05,34.8084,23.205599999999997,24.860211961284154,0
175.05,35.1307,23.205599999999997,21.138180834535838,0
200.1,35.1307,23.205599999999997,21.999422014587502,0
225.03,35.1307,23.205599999999997,21.82591388783917,0
250.04,34.8084,23.205599999999997,26.66354087776831,0
275.04,34.8084,23.205599999999997,20.872011137420003,0
300.04,34.8084,23.205599999999997,26.74438743414914,0
325.06,34.8084,23.205599999999997,25.963992810478306,0
350.01,35.1307,23.205599999999997,21.207212376929995,0
375.08,35.1307,23.205599999999997,22.06845355698166,0
400.03,35.1307,23.205599999999997,26.906080546910797,0
425.06,35.1307,23.205599999999997,21.11455080656249,0
450.03,35.1307,23.205599999999997,21.975791986614155,0
475.03,34.8084,23.205599999999997,26.813418976543293,0
500.04,35.1307,23.205599999999997,100,0
525.04,38.675999999999995,23.5279,17.493959817984404,0
550.07,40.6098,23.850199999999997,8.83120226202625,0
575.03,39.6429,24.1725,48.15689409317817,0
600.07,39.6429,23.850199999999997,57.767254322330054,0
625.04,41.2544,24.1725,46.46093619529447,0
650.08,42.865899999999996,24.494799999999998,38.18905055287141,0
675.06,43.51049999999999,24.494799999999998,42.811256211093394,0
700.02,43.8328,24.494799999999998,48.48462344583775,0
725.03,44.477399999999996,24.817099999999996,47.68424344722726,0
750.04,45.4443,24.817099999999996,42.051752018984175,0
775.05,45.7666,24.817099999999996,46.19269170126367,0
800.07,46.088899999999995,25.1394,47.83626996006566,35
825.03,46.411199999999994,25.784,44.04085029231257,35
850.04,47.0558,27.3955,45.435589428282086,35
875.03,47.378099999999996,28.6847,45.36771644757409,35
900.1,47.700399999999995,29.6516,44.871980656988605,35
925.02,48.02269999999999,30.618499999999997,43.948382056525624,35
950.03,48.345,31.585399999999996,42.59692064618504,35
975.01,48.345,32.23,45.828731542644555,35
1000.02,48.6673,32.8746,48.02579313230405,35
1025.04,48.6673,33.5192,45.21171960528608,35
1050.05,48.989599999999996,33.841499999999996,43.0045325751906,35
1075.03,48.989599999999996,34.163799999999995,45.38061785189511,35
1100.05,48.989599999999996,34.4861,46.72195382179962,35
1125.07,49.311899999999994,34.4861,43.052154675026664,35
1150.03,49.311899999999994,34.8084,45.000377141853676,35
1175.03,49.311899999999994,35.1307,45.91385030188069,35
1200.07,49.311899999999994,35.1307,46.82732346190771,35
