Time,T1,T2,Q1,Q2
0,20.949499999999997,20.949499999999997,100,0
62.0,37.064499999999995,22.8833,0,0
63.0,37.386799999999994,22.8833,0,0
64.0,37.7091,22.8833,0,0
65.0,38.0314,22.8833,0,0
66.0,38.0314,22.8833,0,0
67.0,38.353699999999996,22.8833,0,0
68.0,38.353699999999996,22.8833,0,0
70.0,38.675999999999995,22.8833,0,0
71.0,38.675999999999995,23.205599999999997,0,0
72.0,38.9983,23.205599999999997,0,0
74.0,39.3206,23.205599999999997,0,0
75.0,38.9983,23.205599999999997,0,0
76.0,39.3206,23.205599999999997,0,0
77.0,39.3206,23.5279,0,0
78.0,39.3206,23.205599999999997,0,0
80.0,39.3206,23.205599999999997,0,0
81.0,39.3206,23.5279,0,0
82.0,39.3206,23.5279,0,0
83.0,39.3206,23.5279,0,0
84.0,39.3206,23.5279,0,0
85.0,39.3206,23.5279,0,0
86.01,39.3206,23.5279,0,0
87.0,39.3206,23.5279,0,0
88.01,39.3206,23.5279,0,0
89.0,39.3206,23.850199999999997,0,0
91.0,38.9983,23.5279,0,0
92.0,38.9983,23.5279,0,0
93.0,38.9983,23.850199999999997,0,0
94.0,38.9983,23.850199999999997,0,0
96.0,38.675999999999995,23.850199999999997,0,0
97.0,38.675999999999995,23.850199999999997,0,0
98.0,38.675999999999995,23.850199999999997,0,0
100.0,38.353699999999996,23.850199999999997,0,0
102.0,38.353699999999996,23.850199999999997,0,0
103.0,38.353699999999996,23.850199999999997,0,0
104.0,38.353699999999996,23.850199999999997,0,0
105.0,38.0314,23.850199999999997,0,0
106.0,38.0314,23.850199999999997,0,0
108.0,37.7091,23.850199999999997,0,0
109.0,37.7091,23.850199999999997,0,0
110.0,37.7091,23.850199999999997,0,0
111.0,37.7091,23.850199999999997,0,0
112.0,37.386799999999994,23.850199999999997,0,0
113.0,37.386799999999994,23.850199999999997,0,0
114.0,37.386799999999994,23.5279,0,0
115.0,37.064499999999995,23.5279,0,0
116.0,37.064499999999995,23.850199999999997,0,0
117.0,37.064499999999995,23.5279,0,0
119.0,36.7422,23.5279,0,0
120.0,36.7422,23.5279,0,0
121.0,36.4199,23.5279,0,0
122.0,36.4199,23.5279,0,0
124.0,36.4199,23.5279,0,0
125.0,36.0976,23.5279,0,0
126.01,36.0976,23.5279,0,0
127.0,36.0976,23.5279,0,0
128.0,35.775299999999994,23.5279,0,0
129.01,35.775299999999994,23.5279,0,0
131.0,35.775299999999994,23.5279,0,0
132.0,35.452999999999996,23.5279,0,0
134.0,35.452999999999996,23.5279,0,0
135.0,35.1307,23.5279,0,0
136.0,35.1307,23.5279,0,0
138.0,35.1307,23.5279,0,0
139.0,34.8084,23.5279,0,0
140.0,34.8084,23.205599999999997,0,0
141.0,34.8084,23.5279,0,0
142.0,34.4861,23.5279,0,0
143.01,34.4861,23.205599999999997,0,0
145.0,34.163799999999995,23.205599999999997,0,0
146.0,34.163799999999995,23.5279,0,0
148.0,34.163799999999995,23.205599999999997,0,0
149.0,33.841499999999996,23.205599999999997,0,0
150.0,33.841499999999996,23.205599999999997,0,0
151.0,33.841499999999996,23.205599999999997,0,0
152.0,33.5192,23.205599999999997,0,0
153.01,33.5192,23.205599999999997,0,0
155.0,33.5192,23.205599999999997,0,0
156.0,33.5192,23.205599999999997,0,0
158.0,33.1969,23.205599999999997,0,0
159.0,33.1969,23.205599999999997,0,0
160.0,32.8746,23.205599999999997,0,0
161.0,32.8746,23.205599999999997,0,0
162.0,32.8746,22.8833,0,0
163.0,32.552299999999995,22.8833,0.27164859768142335,0
164.01,32.552299999999995,22.8833,0.8301478677544214,0
165.01,32.552299999999995,22.8833,5.418291108630401,0
167.0,32.23,23.205599999999997,6.061482349506313,0
168.0,32.23,22.8833,10.734317561185126,0
169.0,32.23,22.8833,11.462200772863964,0
170.0,32.23,23.205599999999997,12.190083984542797,0
171.0,32.23,22.8833,12.917967196221628,0
173.0,31.9077,22.8833,17.675494378703362,0
174.0,31.9077,22.8833,18.488069561185114,0
176.01,31.9077,22.8833,19.300644743666865,0
177.0,31.9077,22.8833,24.142863896951564,0
178.0,31.585399999999996,22.8833,21.010487079433286,0
180.0,31.585399999999996,22.8833,25.852706232717985,0
181.0,31.585399999999996,22.8833,26.749973386002658,0
182.0,31.585399999999996,22.8833,27.64724053928733,0
183.0,31.585399999999996,22.8833,28.544507692572008,0
184.0,31.585399999999996,22.8833,29.441774845856678,0
186.0,31.585399999999996,22.8833,30.339041999141354,0
187.0,31.585399999999996,22.8833,31.236309152426028,0
188.0,31.585399999999996,22.8833,32.133576305710704,0
190.0,31.585399999999996,22.561,33.03084345899537,0
191.0,31.585399999999996,22.561,33.92811061228005,0
192.0,31.585399999999996,22.8833,34.825377765564724,0
194.0,31.585399999999996,22.561,35.7226449188494,0
195.0,31.585399999999996,22.8833,36.61991207213407,0
196.0,31.585399999999996,22.561,37.517179225418744,0
197.0,31.585399999999996,22.561,38.41444637870342,0
198.0,31.585399999999996,22.561,39.31171353198809,0
199.01,31.585399999999996,22.8833,40.20898068527276,0
201.0,31.585399999999996,22.8833,41.10624783855744,0
202.0,31.9077,22.561,42.00351499184211,0
204.0,31.9077,22.561,38.87113817432383,0
205.0,31.9077,22.561,39.68371335680558,0
206.0,31.9077,22.561,40.496288539287335,0
208.0,31.9077,22.561,37.27921975096619,0
209.0,32.23,22.561,38.00710296264502,0
210.0,32.23,22.561,38.73498617432386,0
212.0,32.23,22.8833,39.462869386002694,0
213.0,32.23,22.561,40.190752597681524,0
214.0,32.552299999999995,22.561,40.91863580936035,0
215.0,32.552299999999995,22.561,41.64651902103918,0
216.01,32.552299999999995,22.561,38.344758261915125,0
217.0,32.552299999999995,22.561,38.98794950279104,0
219.0,32.552299999999995,22.8833,35.60149677286395,0
220.0,32.8746,22.561,36.15999604293695,0
222.0,32.8746,22.8833,36.718495313009946,0
223.0,32.8746,22.8833,37.27699458308294,0
224.0,33.1969,22.8833,37.835493853155924,0
226.0,33.1969,22.8833,34.36434915242602,0
227.0,33.1969,22.8833,34.83815645169609,0
228.0,33.1969,22.561,35.31196375096617,0
229.0,33.5192,22.8833,35.785771050236235,0
230.0,33.5192,22.8833,32.22993437870341,0
231.0,33.5192,22.8833,32.61904970717056,0
233.0,33.5192,22.8833,33.00816503563772,0
234.0,33.5192,22.8833,33.39728036410487,0
236.0,33.841499999999996,22.8833,29.756751721769128,0
237.0,33.841499999999996,22.8833,30.06117507943336,0
238.0,33.841499999999996,22.8833,30.365598437097596,0
240.0,33.841499999999996,22.8833,30.67002179476183,0
241.0,34.163799999999995,22.8833,30.974445152426064,0
242.0,34.163799999999995,22.8833,27.249224539287397,0
243.0,34.163799999999995,22.8833,27.468955926148716,0
244.0,34.163799999999995,22.8833,27.68868731301003,0
245.01,34.163799999999995,22.8833,27.908418699871344,0
247.0,34.163799999999995,22.8833,28.12815008673266,0
248.0,34.4861,22.8833,24.318237502790986,0
250.0,34.4861,22.8833,24.45327691884938,0
251.0,34.4861,22.8833,24.588316334907773,0
252.0,34.4861,23.205599999999997,24.723355750966167,0
254.0,34.4861,22.8833,24.85839516702456,0
255.0,34.4861,22.8833,24.993434583082955,0
256.0,34.4861,22.8833,25.12847399914135,0
257.0,34.4861,22.8833,25.263513415199743,0
258.0,34.8084,23.205599999999997,25.398552831258137,0
260.0,34.4861,22.8833,21.503948276513633,0
262.0,34.8084,23.205599999999997,21.55429572176911,0
263.0,34.8084,23.205599999999997,21.60464316702458,0
264.0,34.8084,23.205599999999997,21.654990612280056,0
265.0,34.8084,22.8833,21.70533805753553,0
266.0,34.8084,22.8833,21.755685502791003,0
267.0,34.8084,23.205599999999997,21.80603294804648,0
