Time,T1,T2,Q1,Q2
0,20.949499999999997,20.949499999999997,100,0
31.7,27.3955,21.2718,0,0
31.8,27.717799999999997,21.2718,100,0
32.0,27.717799999999997,21.2718,100,0
32.1,27.717799999999997,21.2718,100,0
32.2,27.717799999999997,21.2718,100,0
32.4,27.717799999999997,21.2718,100,0
32.5,27.717799999999997,21.2718,100,0
32.6,27.717799999999997,21.2718,100,0
32.7,27.717799999999997,21.2718,100,0
32.8,28.0401,21.2718,0,0
33.0,28.0401,21.594099999999997,100,0
33.1,28.0401,21.594099999999997,100,0
33.2,28.0401,21.594099999999997,100,0
33.3,28.0401,21.2718,100,0
33.4,28.0401,21.2718,100,0
33.5,28.0401,21.2718,100,0
33.6,28.0401,21.2718,100,0
33.8,28.0401,21.2718,0,0
33.9,28.362399999999997,21.594099999999997,100,0
34.0,28.362399999999997,21.594099999999997,100,0
34.1,28.362399999999997,21.594099999999997,100,0
34.3,28.362399999999997,21.2718,100,0
34.4,28.362399999999997,21.594099999999997,100,0
34.5,28.362399999999997,21.594099999999997,100,0
34.6,28.362399999999997,21.594099999999997,0,0
34.7,28.362399999999997,21.594099999999997,100,0
34.8,28.362399999999997,21.594099999999997,0,0
35.0,28.6847,21.594099999999997,0,0
35.1,28.6847,21.594099999999997,100,0
35.3,28.6847,21.594099999999997,100,0
35.4,28.6847,21.594099999999997,100,0
35.5,28.6847,21.594099999999997,100,0
35.6,28.6847,21.2718,100,0
35.7,28.6847,21.594099999999997,100,0
35.8,28.6847,21.594099999999997,100,0
36.0,29.006999999999998,21.594099999999997,0,0
36.1,29.006999999999998,21.594099999999997,100,0
36.2,29.006999999999998,21.594099999999997,100,0
36.3,29.006999999999998,21.594099999999997,100,0
36.4,29.006999999999998,21.594099999999997,100,0
36.6,29.006999999999998,21.594099999999997,100,0
36.7,29.006999999999998,21.594099999999997,100,0
36.8,29.006999999999998,21.594099999999997,100,0
36.9,29.329299999999996,21.594099999999997,100,0
37.0,29.006999999999998,21.594099999999997,0,0
37.2,29.329299999999996,21.594099999999997,100,0
37.3,29.329299999999996,21.594099999999997,100,0
37.5,29.329299999999996,21.594099999999997,100,0
37.6,29.329299999999996,21.594099999999997,100,0
37.7,29.329299999999996,21.594099999999997,100,0
37.8,29.329299999999996,21.594099999999997,100,0
37.9,29.329299999999996,21.594099999999997,100,0
38.1,29.6516,21.594099999999997,0,0
38.2,29.329299999999996,21.594099999999997,100,0
38.3,29.329299999999996,21.594099999999997,100,0
38.4,29.6516,21.594099999999997,100,0
38.5,29.6516,21.594099999999997,100,0
38.6,29.6516,21.594099999999997,100,0
38.8,29.6516,21.594099999999997,100,0
38.9,29.6516,21.594099999999997,100,0
39.0,29.6516,21.594099999999997,100,0
39.1,29.973899999999997,21.594099999999997,0,0
39.2,29.6516,21.594099999999997,100,0
39.4,29.973899999999997,21.594099999999997,100,0
39.5,29.973899999999997,21.594099999999997,100,0
