Time,T1,T2,Q1,Q2
0,20.949499999999997,20.949499999999997,100,0
1,20.949499999999997,20.949499999999997,100,0
2,20.949499999999997,20.6272,100,0
3,20.6272,20.949499999999997,100,0
4,20.949499999999997,20.6272,100,0
5,20.949499999999997,20.6272,0,0
6,20.949499999999997,20.949499999999997,100,0
7,21.2718,20.949499999999997,100,0
8,21.2718,20.949499999999997,0,0
9,21.2718,20.949499999999997,100,0
10,21.594099999999997,20.949499999999997,100,0
11,21.594099999999997,20.949499999999997,0,0
12,21.594099999999997,20.949499999999997,0,0
13,21.9164,20.949499999999997,100,0
14,21.9164,20.949499999999997,0,0
15,22.238699999999998,20.949499999999997,100,0
16,22.238699999999998,20.949499999999997,0,0
17,22.561,20.949499999999997,100,0
18,22.561,20.949499999999997,100,0
19,22.8833,20.949499999999997,0,0
20,22.8833,20.949499999999997,0,0
21,23.205599999999997,20.949499999999997,100,0
22,23.205599999999997,20.949499999999997,100,0
23,23.205599999999997,20.949499999999997,100,0
24,23.5279,20.949499999999997,0,0
25,23.850199999999997,21.2718,100,0
26,23.850199999999997,21.2718,0,0
27,24.1725,20.949499999999997,100,0
28,24.1725,20.949499999999997,0,0
29,24.494799999999998,21.2718,100,0
30,24.494799999999998,21.2718,100,0
31,24.817099999999996,21.2718,0,0
32,25.1394,21.2718,100,0
33,25.1394,21.2718,0,0
34,25.461699999999997,21.2718,0,0
35,25.461699999999997,21.2718,42.30973635493514,0
36,25.784,21.2718,100,0
37,25.784,21.2718,0,0
38,26.106299999999997,21.2718,100,0
39,26.106299999999997,21.2718,100,0
40,26.4286,21.2718,0,0
41,26.4286,21.2718,100,0
42,26.750899999999998,21.2718,0,0
43,26.750899999999998,21.2718,74.97550356355755,0
44,27.073199999999996,21.594099999999997,68.76611707868757,0
45,27.073199999999996,21.594099999999997,100,0
46,27.3955,21.594099999999997,0,0
47,27.3955,21.2718,100,0
48,27.717799999999997,21.594099999999997,0,0
49,28.0401,21.594099999999997,40.384109040176455,0
50,28.0401,21.594099999999997,100,0
51,28.0401,21.594099999999997,4.3554222480369305,0
52,28.362399999999997,21.594099999999997,100,0
53,28.6847,21.594099999999997,0,0
54,28.6847,21.9164,100,0
55,29.006999999999998,21.594099999999997,6.555647943973682,0
56,29.006999999999998,21.594099999999997,100,0
57,29.329299999999996,21.9164,100,0
58,29.329299999999996,21.9164,100,0
59,29.6516,21.9164,0,0
60,29.6516,21.9164,0,0
61,29.973899999999997,21.9164,0,0
62,29.973899999999997,21.9164,100,0
63,30.2962,21.9164,0,0
64,30.2962,21.9164,0,0
65,30.618499999999997,21.9164,100,0
66,30.618499999999997,22.238699999999998,100,0
67,30.940799999999996,21.9164,100,0
68,30.940799999999996,22.238699999999998,0,0
69,30.940799999999996,21.9164,0,0
70,31.263099999999998,22.238699999999998,100,0
71,31.263099999999998,22.238699999999998,100,0
72,31.585399999999996,22.238699999999998,100,0
73,31.585399999999996,22.238699999999998,0,0
74,31.9077,22.238699999999998,0,0
75,31.9077,22.238699999999998,100,0
76,32.23,22.238699999999998,0,0
77,32.23,22.238699999999998,65.74016223345383,0
78,32.552299999999995,22.561,100,0
79,32.552299999999995,22.561,100,0
80,32.552299999999995,22.238699999999998,0,0
81,32.8746,22.561,0,0
82,32.8746,22.561,100,0
83,32.8746,22.561,0,0
84,33.1969,22.561,100,0
85,33.5192,22.561,0,0
86,33.5192,22.561,100,0
87,33.5192,22.561,12.903307021594557,0
88,33.841499999999996,22.561,0,0
89,33.841499999999996,22.561,0,0
90,33.841499999999996,22.561,0,0
91,34.163799999999995,22.561,100,0
92,34.163799999999995,22.561,0,0
93,34.163799999999995,22.561,100,0
94,34.4861,22.561,0,0
95,34.4861,22.8833,100,0
96,34.4861,22.561,100,0
97,34.4861,22.8833,0,0
98,34.8084,22.8833,100,0
99,34.8084,22.8833,100,0
100,35.1307,22.8833,0,0
101,35.1307,22.8833,0,0
102,35.1307,22.8833,100,0
103,35.452999999999996,22.8833,0,0
104,35.452999999999996,22.8833,100,0
105,35.452999999999996,22.8833,100,0
106,35.775299999999994,22.8833,0,0
107,35.775299999999994,22.8833,100,0
108,35.775299999999994,22.8833,0,0
109,36.0976,23.205599999999997,0,0
110,36.0976,22.8833,100,0
111,36.0976,23.205599999999997,100,0
112,36.0976,23.205599999999997,100,0
113,36.4199,23.205599999999997,0,0
114,36.4199,23.205599999999997,100,0
115,36.7422,23.205599999999997,100,0
116,36.7422,23.205599999999997,0,0
117,36.7422,23.205599999999997,100,0
118,37.064499999999995,23.205599999999997,100,0
119,37.064499999999995,23.205599999999997,0,0
120,37.064499999999995,23.205599999999997,100,0
121,37.386799999999994,23.205599999999997,0,0
122,37.7091,23.205599999999997,0,0
123,37.7091,23.205599999999997,100,0
124,37.7091,23.5279,0,0
125,38.0314,23.5279,0,0
126,38.0314,23.205599999999997,100,0
127,38.0314,23.205599999999997,0,0
128,38.0314,23.5279,0,0
129,38.353699999999996,23.5279,100,0
130,38.353699999999996,23.5279,100,0
131,38.353699999999996,23.5279,100,0
132,38.353699999999996,23.5279,0,0
133,38.675999999999995,23.5279,0,0
134,38.675999999999995,23.5279,100,0
135,38.675999999999995,23.5279,0,0
136,38.9983,23.5279,100,0
137,38.9983,23.5279,0,0
138,38.9983,23.5279,100,0
139,38.9983,23.5279,0,0
