,times,model_predictions,errors,controller_outputs,noisy_values,true_values,T2_values
0,35.0,14.050500000000003,179.66901828429118,20.949499999999997,20.949499999999997,0.0,20.949499999999997
1,35.0,14.050500000000003,170.854607668006,20.949499999999997,20.949499999999997,1.0,20.949499999999997
2,35.0,14.050500000000003,162.53257299278292,20.949499999999997,20.949499999999997,2.0,20.949499999999997
3,35.0,14.050500000000003,154.67540997298215,20.949499999999997,20.949499999999997,3.0,20.949499999999997
4,35.0,14.050500000000003,147.25715072160864,20.949499999999997,20.949499999999997,4.0,20.949499999999997
5,35.0,14.050500000000003,140.25327792656716,20.949499999999997,20.949499999999997,5.0,20.6272
6,35.0,13.728200000000001,133.64064382106056,21.2718,21.2718,6.0,20.949499999999997
7,35.0,13.728200000000001,123.27602258371127,21.2718,21.2718,7.0,20.949499999999997
8,35.0,13.728200000000001,117.58371348787627,21.2718,21.2718,8.0,20.949499999999997
9,35.0,13.405900000000003,112.20937869229681,21.594099999999997,21.594099999999997,9.0,20.949499999999997
10,35.0,13.405900000000003,103.01388494901714,21.594099999999997,21.594099999999997,10.0,20.949499999999997
11,35.0,13.0836,98.42539549228862,21.9164,21.9164,11.0,20.949499999999997
12,35.0,13.0836,89.97184950297414,21.9164,21.9164,12.0,20.949499999999997
13,35.0,12.761300000000002,86.08386234917833,22.238699999999998,22.238699999999998,13.0,20.949499999999997
14,35.0,12.439,78.29168836859576,22.561,22.561,14.0,20.949499999999997
15,35.0,12.439,70.90675766410564,22.561,22.561,15.0,20.949499999999997
16,35.38302304620862,12.499723046208619,68.02769258597888,22.8833,22.8833,16.0,20.949499999999997
17,36.12689016740817,12.921290167408173,66.08594143954465,23.205599999999997,23.205599999999997,17.0,20.949499999999997
18,36.82933460188241,13.623734601882415,68.87218685525744,23.205599999999997,23.205599999999997,18.0,20.949499999999997
19,37.49266937297116,13.964769372971155,75.13113868365043,23.5279,23.5279,19.0,20.949499999999997
20,38.1190783034675,14.268878303467499,76.48007336488676,23.850199999999997,23.850199999999997,20.0,20.949499999999997
21,38.7106232327659,14.538123232765894,77.31113104637099,24.1725,24.1725,21.0,20.949499999999997
22,39.269250830858205,14.774450830858207,77.67639461392683,24.494799999999998,24.1725,22.0,20.949499999999997
23,39.78801298651845,14.970912986518456,77.62374418805855,24.817099999999996,24.817099999999996,23.0,20.949499999999997
24,40.26915372810063,15.452053728100637,77.08481368335126,24.817099999999996,25.1394,24.0,21.2718
25,40.72353887088616,15.584138870886157,80.23336613133365,25.1394,25.461699999999997,25.0,21.2718
26,41.14387614355865,15.682176143558653,78.78437883758806,25.461699999999997,25.461699999999997,26.0,21.2718
27,41.532084639039056,15.748084639039057,76.99243690719985,25.784,25.784,27.0,21.2718
28,41.889937342759424,15.78363734275943,74.89827694609758,26.106299999999997,26.106299999999997,28.0,21.2718
29,42.219147137214286,15.790547137214283,72.53865857042615,26.4286,26.4286,29.0,21.2718
30,42.52129231619203,15.770392316192037,69.94767362816245,26.750899999999998,26.750899999999998,30.0,21.2718
31,42.7891159007052,15.715915900705198,67.15593751695113,27.073199999999996,27.073199999999996,31.0,21.2718
32,43.03331743770559,15.637817437705596,64.07951276113482,27.3955,27.3955,32.0,21.2718
33,43.26563619144396,15.547836191443963,60.86813636515487,27.717799999999997,27.717799999999997,33.0,21.2718
34,43.49822398236317,15.458123982363176,57.67740676081698,28.0401,28.0401,34.0,21.2718
35,43.74853916951264,15.386139169512639,54.66052706488193,28.362399999999997,28.362399999999997,35.0,21.2718
36,44.01338371169044,15.328683711690442,52.03105595227623,28.6847,28.6847,36.0,21.594099999999997
37,44.28111313036128,15.274113130361275,49.72799983381114,29.006999999999998,29.006999999999998,37.0,21.594099999999997
38,44.54961372677109,15.220313726771096,47.58548634640957,29.329299999999996,29.329299999999996,38.0,21.594099999999997
39,44.8169986753317,15.487698675331707,45.56776976071626,29.329299999999996,29.329299999999996,39.0,21.594099999999997
40,45.081349762905944,15.10744976290595,47.76518949804682,29.973899999999997,29.6516,40.0,21.594099999999997
41,45.34951380946385,15.375613809463854,41.58157758031612,29.973899999999997,30.2962,41.0,21.594099999999997
42,45.61950803624029,15.001008036240297,44.001814279860156,30.618499999999997,30.2962,42.0,21.9164
43,45.88080974550157,15.262309745501575,38.09083877238601,30.618499999999997,30.940799999999996,43.0,21.594099999999997
44,46.13210279895007,15.191302798950073,40.609060877351624,30.940799999999996,30.940799999999996,44.0,21.9164
45,46.37224480134253,15.109144801342534,38.759983921208686,31.263099999999998,31.263099999999998,45.0,21.9164
46,46.600251801758006,15.014851801758006,36.865428930041276,31.585399999999996,31.585399999999996,46.0,21.9164
47,46.815284157188096,14.907584157188097,34.91438437404031,31.9077,31.9077,47.0,21.9164
48,47.016393974128846,14.786393974128849,32.89821357715431,32.23,32.23,48.0,21.9164
49,47.202780313830594,14.650480313830599,30.80730504812891,32.552299999999995,32.552299999999995,49.0,21.9164
50,47.37429776321728,14.499697763217277,28.634380924887694,32.8746,32.8746,50.0,22.238699999999998
51,47.531459449729155,14.334559449729156,26.38088268503418,33.1969,32.8746,51.0,22.238699999999998
52,47.67555624715911,14.478656247159108,24.056579643094153,33.1969,33.1969,52.0,22.238699999999998
53,47.80819470353356,14.288994703533561,25.802056453904072,33.5192,33.5192,53.0,22.238699999999998
54,47.93048736360826,14.088987363608261,23.194669125250044,33.841499999999996,33.841499999999996,54.0,22.238699999999998
55,48.0431103637889,14.201610363788898,20.58414102993808,33.841499999999996,33.841499999999996,55.0,22.238699999999998
